2013-04-01,7
2013-04-27,6
2013-05-01,6
2013-06-16,7
2013-06-17,6
2013-08-09,6
2013-09-24,6
2013-12-16,6
2013-12-25,7
2013-12-26,7
2014-01-01,7
2014-03-21,6
2014-04-18,7
2014-04-21,7
2014-04-27,6
2014-04-28,6
2014-05-01,7
2014-05-07,6
2014-06-16,6
2014-08-09,6
2014-09-24,6
2014-12-16,6
2014-12-25,7
2014-12-26,7
2015-01-01,7
2015-03-21,6
2015-04-03,7
2015-04-08,7
2015-04-27,6
2015-05-01,6
2015-06-16,6
2015-08-09,7
2015-08-10,6
2015-09-24,6
2015-12-16,6
2015-12-25,7
2015-12-26,7
2016-01-01,7
2016-03-21,6
2016-03-25,7
2016-04-28,7
2016-04-27,6
2016-05-01,7
2016-05-02,6
2016-06-16,6
2016-08-09,6
2016-09-24,6
2016-12-16,6
2016-12-25,7
2016-12-26,7
2017-01-01,7
2017-01-02,6
2017-03-21,6
2017-04-14,7
2017-04-17,7
2017-04-27,6
2017-05-01,6
2017-06-16,6
2017-08-09,6
2017-09-24,6
2017-09-25,6
2017-12-16,6
2017-12-25,7
2017-12-26,7
2018-01-01,7
2018-03-21,6
2018-03-30,7
2018-04-02,7
2018-04-27,6
2018-05-01,7
2018-06-16,6
2018-08-09,6
2018-09-24,6
2018-12-16,6
2018-12-17,6
2018-12-25,7
2018-12-26,7
